url,http_status,final_url,redirect_hops,canonical,self_canonical,x_robots_tag,robots_meta,h1_count,indexable,title,meta_description
"https://southeastroofing.llc/commercial",200,"https://southeastroofing.llc/commercial",0,"https://southeastroofing.llc/commercial",yes,"none","none",1,yes,"Commercial Roofing Contractor in Mississippi | Southeast Roofing","Commercial roofing across South Mississippi: TPO; EPDM; PVC; modified bitumen; coatings; metal systems; and planned maintenance — engineered proposals; operations-first scheduling."
"https://southeastroofing.llc/commercial/request-consultation",200,"https://southeastroofing.llc/commercial/request-consultation",0,"https://southeastroofing.llc/commercial/request-consultation",yes,"none","none",1,yes,"Commercial Roofing Consultation in MS | Southeast Roofing","Request a commercial roofing consultation from Southeast Roofing — assessment; engineered proposal; and honest guidance for facilities across South Mississippi."
"https://southeastroofing.llc/residential",200,"https://southeastroofing.llc/residential",0,"https://southeastroofing.llc/residential",yes,"none","none",1,yes,"Residential Roofing in Hattiesburg; MS | Southeast Roofing","The full residential roofing lineup from Southeast Roofing: shingle and metal systems; replacement; repair; gutters; and ventilation — one local; GAF-certified team."
"https://southeastroofing.llc",200,"https://southeastroofing.llc/",0,"https://southeastroofing.llc",yes,"none","none",1,yes,"Southeast Roofing | Licensed Roofing Contractor in Hattiesburg; MS","Southeast Roofing is a licensed Mississippi roofing contractor serving Hattiesburg and surrounding communities. Residential; commercial; metal roofing; storm damage; financing; and free inspections."
"https://southeastroofing.llc/commercial/industries",200,"https://southeastroofing.llc/commercial/industries",0,"https://southeastroofing.llc/commercial/industries",yes,"none","none",1,yes,"Commercial Roofing by Industry in MS | Southeast Roofing","Commercial roofing tuned to your industry: schools; churches; apartments; industrial; warehouses; and municipal buildings across South Mississippi."
"https://southeastroofing.llc/storm-damage",200,"https://southeastroofing.llc/storm-damage",0,"https://southeastroofing.llc/storm-damage",yes,"none","none",1,yes,"Storm Damage Roof Repair in Mississippi | Southeast Roofing","Hail; wind; hurricane; and tree damage — Southeast Roofing documents it; tarps it; helps with the insurance claim; and restores the roof. Hattiesburg-based; region-wide."
"https://southeastroofing.llc/metal-roofing",200,"https://southeastroofing.llc/metal-roofing",0,"https://southeastroofing.llc/metal-roofing",yes,"none","none",1,yes,"Metal Roofing in Hattiesburg; MS | Southeast Roofing","Metal roofing for homes and commercial buildings across South Mississippi — standing seam; panel systems; honest metal-vs-shingle guidance; and free estimates."
"https://southeastroofing.llc/financing",200,"https://southeastroofing.llc/financing",0,"https://southeastroofing.llc/financing",yes,"none","none",1,yes,"Roof Financing in Mississippi | Southeast Roofing","Finance your roof through our partner GoodLeap — apply online in minutes and decide with real numbers in hand. Free estimates from Southeast Roofing first."
"https://southeastroofing.llc/free-inspection",200,"https://southeastroofing.llc/free-inspection",0,"https://southeastroofing.llc/free-inspection",yes,"none","none",1,yes,"Free Roof Inspection in Hattiesburg; MS | Southeast Roofing","Schedule a free; no-obligation roof inspection anywhere in South Mississippi. Photo documentation; straight answers; and an itemized digital proposal — from a local; GAF-certified team."
"https://southeastroofing.llc/contact",200,"https://southeastroofing.llc/contact",0,"https://southeastroofing.llc/contact",yes,"none","none",1,yes,"Contact Our Hattiesburg; MS Roofers | Southeast Roofing","Reach Southeast Roofing in Hattiesburg: call; email; or send the form and we&#x27;ll get back to you fast. Serving all of South Mississippi."
